depth,p,n,real,b,ivn_max,ir2_max,a_at_max
4,0.02,12,3,3,0.894926287990593,1.065963590374448,6
4,0.02,12,3,4,0.13393620343320833,0.07379647098066044,5
4,0.02,12,3,5,0.038295435142753576,0.02047490749821801,5
4,0.02,12,3,6,0.005997561279666996,0.00021487074140491558,5
4,0.02,12,3,7,0.0004535014084865452,3.717250359969171e-06,4
4,0.02,12,3,8,8.291167543283962e-05,3.8385129670359674e-06,2
4,0.02,12,3,9,1.1511226295723986e-05,3.4110653857055695e-08,2
4,0.02,12,3,10,1.4236423293567668e-06,6.220570725190555e-10,1
4,0.02,12,4,1,3.248701974311583,3.8283811244079473,1
4,0.02,12,4,2,1.2590712736912302,1.2816738731854125,1
4,0.02,12,4,3,0.10695284690123952,0.07527112868712749,6
4,0.02,12,4,4,0.05336087369527576,0.007283010641492282,5
4,0.02,12,4,5,8.881784197001252e-16,1.7763568394002505e-15,3
4,0.02,12,4,6,1.7763568394002505e-15,0.0,1
4,0.02,12,4,7,1.7763568394002505e-15,1.7763568394002505e-15,1
4,0.02,12,4,8,0.0,1.7763568394002505e-15,1
4,0.02,12,4,9,0.0,1.7763568394002505e-15,1
4,0.02,12,4,10,0.0,1.7763568394002505e-15,1
4,0.02,12,5,1,2.3352682385950967,2.867019014504799,9
4,0.02,12,5,2,1.5160892618913948,1.8933814319213393,9
4,0.02,12,5,3,0.7400056313370058,0.9397372821840531,6
4,0.02,12,5,4,0.060301567618909147,0.025385925757407612,6
4,0.02,12,5,5,0.014528695466900388,0.001658801055928194,6
4,0.02,12,5,6,0.0009807652197340033,1.549845834247776e-05,3
4,0.02,12,5,7,0.0002591183971016875,1.8886305781506962e-06,2
4,0.02,12,5,8,4.781990729529895e-05,2.757425736632513e-07,1
4,0.02,12,5,9,5.618359715242605e-06,2.4868231918162564e-09,2
4,0.02,12,5,10,9.658435491388673e-07,3.5143976617746375e-10,1
4,0.02,12,6,1,3.8836601895139573,4.670732439510703,4
4,0.02,12,6,2,2.4871992597187305,2.990086193241126,5
4,0.02,12,6,3,0.8726756687284265,1.0431990647478884,2
4,0.02,12,6,4,0.03424508629346423,0.00719978685125966,1
4,0.02,12,6,5,0.02308793077843596,0.005782413367262151,2
4,0.02,12,6,6,0.0009426881362344375,4.9766822957764134e-05,2
4,0.02,12,6,7,5.7746480047526916e-05,4.442850851660296e-07,2
4,0.02,12,6,8,2.2373548880239014e-06,1.51216283938993e-09,1
4,0.02,12,6,9,0.0,1.7763568394002505e-15,1
4,0.02,12,6,10,-5.329070518200751e-15,0.0,1
4,0.02,12,7,1,3.3017484125209577,3.9972876110263016,6
4,0.02,12,7,2,1.8887780414896458,2.1849649563881677,5
4,0.02,12,7,3,0.8343426956641977,0.9851246417402484,2
4,0.02,12,7,4,0.09084937262023018,0.046081586650971396,1
4,0.02,12,7,5,0.015044263894104404,0.0032202251897928136,1
4,0.02,12,7,6,0.0026999091611763504,0.00011113181987454368,1
4,0.02,12,7,7,0.0002889394478540197,1.8639292846955868e-06,2
4,0.02,12,7,8,4.501742447260426e-05,7.688455028187491e-08,1
4,0.02,12,7,9,1.80517197900798e-06,6.790941142753582e-10,1
4,0.02,12,7,10,2.829646224000726e-07,3.738165332833887e-11,1
4,0.02,12,8,1,3.1632857095943194,3.8855220709329252,9
4,0.02,12,8,2,1.6171361621318656,1.9550537658937541,9
4,0.02,12,8,3,0.7298629013349753,0.9228716226620302,6
4,0.02,12,8,4,0.07883878753980689,0.04349778713866126,6
4,0.02,12,8,5,0.007517932067098165,0.0005550551518362923,6
4,0.02,12,8,6,0.0008626215601630349,4.490835079451472e-05,5
4,0.02,12,8,7,0.0002966327962212745,8.314578072265988e-06,2
4,0.02,12,8,8,5.496324513210027e-05,2.8767334825374746e-07,2
4,0.02,12,8,9,5.743831991367188e-06,5.209933817695855e-09,2
4,0.02,12,8,10,1.9593466760170486e-07,4.1737280298548285e-11,1
4,0.02,12,9,1,3.74998771857188,4.670642796865964,6
4,0.02,12,9,2,1.732885469543298,2.037239540286077,7
4,0.02,12,9,3,0.8815246806509052,1.0600717859245101,7
4,0.02,12,9,4,0.1353982223622996,0.08402042394174192,3
4,0.02,12,9,5,0.01845984219109642,0.0024477551524135777,2
4,0.02,12,9,6,0.0022341955114342227,5.780861775939172e-05,1
4,0.02,12,9,7,0.00035268184013403925,3.2268964540449474e-06,3
4,0.02,12,9,8,4.78288083840539e-05,1.9395724848436657e-07,2
4,0.02,12,9,9,5.62391548442065e-06,3.55621132541728e-09,1
4,0.02,12,9,10,6.357333486306516e-07,3.7900349525443744e-11,1
4,0.02,12,10,1,3.2762374162610763,4.008640871359795,2
4,0.02,12,10,2,1.29677281808521,1.3729483134774387,1
4,0.02,12,10,3,0.20728642799565566,0.08314869099910283,1
